district_id,district_name,county_id,county_name,nuts3_code,is_budapest_district,pop,jobseekers,jobseeker_rate,county_cases,pop_share,lambda,lambda_lo,lambda_hi,county_child_pop,pop_child,pop_u5,burden_rate,burden_rate_u5,komplex_mutato,kedvezmenyezett_290,komplex_program_290,deprivation_290,evidence_class,confidence,vacant_paed,vacant_any,vacant_paed_practice_rate,expected_cost,expected_cost_societal,score_disease,score_socioeconomic,score_healthcare,need_mpi,need_score,need_wsum,need_rank_ws,need_rank,need_score_290,spec_top_count,spec_n_specs
141,Csurgói,14,Somogy,,False,9681.0,811.1666666666666,0.08378955342078986,248,0.051886868297075235,12.867943337674658,6.433971668837329,19.301915006511987,39313,2039.8284533629187,693.5416741433924,630.834583979854,18.553958352348644,2951,1,1,1.0914228479048342,estimated,low,4.0,5.0,41.318045656440454,2057838.281575097,10289191.407875484,2.006951051543241,1.1448432850489823,3.268071295860942,119.45981936258387,1.0,1.0,0.9950293543244917,1,1.0,7,7
062,Ózdi,05,Borsod-Abaúj-Zemplén,,False,30881.0,4138.916666666667,0.13402793519208145,493,0.07708302131695871,38.00192950926064,19.00096475463032,57.002894263890965,100996,7785.076820927562,2646.9261191153714,488.1381440849142,14.357004237791593,2549,1,1,1.3470150939127101,estimated,low,7.0,13.0,22.66765972604514,6077259.066638584,30386295.333192922,1.2132034268608696,2.7218707691933197,1.3419835025265279,117.3436685276078,0.9307357838291981,0.9044785753679556,0.9727063102077683,2,0.8123308249703375,7,7
140,Barcsi,14,Somogy,,False,13659.0,1405.0833333333333,0.10286868243160797,248,0.07320759571012815,18.15548373611178,9.07774186805589,27.23322560416767,39313,2878.010210152268,978.5234714517712,630.834583979854,18.55395835234864,3019,1,1,1.04818833862987,estimated,low,3.0,7.0,21.963540522732266,2903420.4202080616,14517102.10104031,2.006951051543241,1.7437541130404506,1.2692667551297339,117.33750296696488,0.9305339774559814,0.9402307479314456,1.0,3,0.8680590949136151,7,7
055,Edelényi,05,Borsod-Abaúj-Zemplén,,False,19794.0,2227.5833333333335,0.11253831127277628,493,0.04940841695372173,24.358349558184813,12.179174779092406,36.53752433727722,100996,4990.05247865808,1696.6178427437474,488.13814408491425,14.357004237791593,2734,1,1,1.2293917966205283,estimated,low,4.0,11.0,20.20814388198444,3895381.1717575258,19476905.85878763,1.2132034268608698,2.0472923622105554,1.087981067271962,114.62611286035504,0.8417868487714039,0.8249528216230883,0.9748417139456222,4,0.7823952484440633,7,7
147,Tabi,14,Somogy,,False,7364.0,492.5,0.0668794133623031,248,0.0394685361160688,9.788196956785063,4.894098478392531,14.682295435177593,39313,1551.6265603310128,527.5530305125444,630.834583979854,18.553958352348644,3110,1,0,0.9903303923942564,estimated,low,2.0,4.0,27.159152634437802,1565326.010279828,7826630.051399141,2.006951051543241,0.6140189492977285,1.8058350119263564,114.32761240126302,0.8320165620867751,0.8634300640227376,0.945777493323125,5,0.8989004572463261,6,7
066,Szerencsi,05,Borsod-Abaúj-Zemplén,,False,23696.0,2437.0833333333335,0.10284787868557282,493,0.05914832010383905,29.160121811192653,14.580060905596326,43.74018271678898,100996,5973.743737207329,2031.072870650492,488.13814408491425,14.357004237791594,3122,1,0,0.9827007731104392,estimated,low,5.0,9.0,21.100607697501687,4663279.390015476,23316396.95007738,1.2132034268608698,1.7431010649502483,1.1801487933166523,113.86587962223086,0.8169034810665413,0.8012075988430074,0.9663898218403354,6,0.7628192400757432,7,7
093,Balmazújvárosi,09,Hajdú-Bihar,,False,18398.0,1296.9166666666667,0.07049226365184622,512,0.054077250695879396,27.68755235629025,13.843776178145125,41.531328534435374,78865,4264.8023761305285,1450.0328078843797,649.210676472453,19.0944316609545,3716,1,0,0.6050346185614882,estimated,low,4.0,7.0,21.74149364061311,4427786.450929848,22138932.25464924,2.1091678957594175,0.7274295330352039,1.246335230238302,113.86062948981503,0.8167316377836498,0.8587251877083613,0.9598938877806457,7,0.8262004163253511,6,7
056,Encsi,05,Borsod-Abaúj-Zemplén,,False,13417.0,2291.0833333333335,0.170759732677449,493,0.033490589586141484,16.51086066596775,8.255430332983876,24.766290998951625,100996,3382.4155858419454,1150.0212991862616,488.13814408491425,14.357004237791593,2327,1,1,1.488163050663328,estimated,low,0.0,4.0,0.0,2640412.709986396,13202063.549931983,1.2132034268608698,3.874914560296292,-0.9989816048302742,113.34222619843547,0.7997636612839146,0.8777509328550888,0.7879101455603643,8,0.6369626088118692,4,7
144,Marcali,14,Somogy,,False,20702.0,1497.25,0.07232393005506714,248,0.11095568097159916,27.517008880956592,13.758504440478296,41.275513321434886,39313,4362.000686036478,1483.0802332524026,630.8345839798538,18.553958352348644,3640,1,0,0.6533555406923304,estimated,low,4.0,8.0,19.321804656554924,4400513.180990358,22002565.90495179,2.0069510515432407,0.7849271704554017,0.9964458481497116,113.0990547950065,0.7918043625537501,0.8323654052728998,0.9153853745779288,9,0.8028920323019477,6,7
054,Cigándi,05,Borsod-Abaúj-Zemplén,,False,9446.0,1497.3333333333333,0.1585150681064295,493,0.023578453397234286,11.624177524836503,5.812088762418251,17.436266287254753,100996,2381.329479307074,809.6520229644052,488.13814408491425,14.357004237791594,1863,1,1,1.7831749963042596,estimated,low,0.0,4.0,0.0,1858935.5637274722,9294677.818637362,1.2132034268608698,3.4905436494151445,-0.9989816048302742,112.44996774728934,0.7705589461856596,0.8409206737547004,0.7857986679148113,10,0.6635629714767323,4,7
120,Salgótarjáni,12,Nógrád,,False,35061.0,3285.916666666667,0.09371999277449779,110,0.3019428512375342,33.213713636128766,16.606856818064383,49.820570454193145,26042,7863.195731927866,2673.4865488554747,422.3945933492052,12.42337039262368,3783,1,0,0.5624359108935089,estimated,low,9.0,16.0,25.66954736031488,5311528.781261303,26557643.906306516,0.8475055350769237,1.4565686081638893,1.651998488323978,112.4091486060304,0.7692228855526766,0.7397931093708764,0.9207687453456275,11,0.7027392241551117,5,7
117,Bátonyterenyei,12,Nógrád,,False,11987.0,1040.4166666666667,0.0867954172575846,110,0.10323119585249488,11.355431543774436,5.677715771887218,17.033147315661655,26042,2688.3468023906717,914.0379128128284,422.3945933492051,12.42337039262368,3884,1,0,0.49821994858804747,estimated,low,3.0,3.0,25.027112705430884,1815957.773622522,9079788.868112609,0.8475055350769231,1.2392000242011516,1.585652110752753,111.51618990632636,0.7399952504589815,0.7150761593926679,0.8986012208288596,12,0.6915157580812527,4,7
145,Nagyatádi,14,Somogy,,False,14592.0,1298.4166666666667,0.08898140533625731,248,0.07820815847442639,19.395623301657743,9.697811650828871,29.093434952486614,39313,3074.5973341051244,1045.3630935957424,630.834583979854,18.553958352348644,3356,1,0,0.8339231970760039,estimated,low,1.0,6.0,6.853070175438596,3101743.229495281,15508716.147476403,2.006951051543241,1.307820134135678,-0.2912421049058009,111.4926512915634,0.7392248026844868,0.8069930808783792,0.8727550596208314,13,0.720147438693625,6,7
057,Gönci,05,Borsod-Abaúj-Zemplén,,False,10713.0,1551.5,0.14482404555213294,493,0.026741051370375916,13.183338325595326,6.591669162797663,19.775007488392987,100996,2700.739224202486,918.2513362288454,488.1381440849142,14.357004237791593,2211,1,1,1.561916037073561,estimated,low,0.0,4.0,0.0,2108276.169194623,10541380.845973115,1.2132034268608696,3.0607702750963117,-0.9989816048302742,111.39503641412402,0.7360297478421299,0.7997399696938111,0.7639720902133312,14,0.6437070684718162,4,7
069,Tokaji,05,Borsod-Abaúj-Zemplén,,False,7473.0,708.0833333333333,0.09475221909987064,493,0.018653586940242623,9.196218361539612,4.598109180769806,13.794327542309418,100996,1883.9376666167439,640.5388066496929,488.13814408491425,14.357004237791594,3241,1,0,0.9070403818792521,estimated,low,1.0,3.0,13.381506757660912,1470656.9413228245,7353284.706614123,1.2132034268608698,1.4889711105450574,0.3829713970294762,110.99316867001669,0.7228761229493005,0.7301317334233886,0.9192853276229728,15,0.6969527379694244,5,7
